Month	ES-epi	RJ-epi	MG-epi	SP-epi	ES-h	RJ-h	MG-h	SP-h
01/06/2018	0	1	0	0	0	0	0	5
01/07/2018	0	0	0	0	0	8	0	1
01/08/2018	0	0	0	0	0	0	0	7
01/09/2018	0	0	0	0	0	0	0	1
01/10/2018	0	0	0	0	0	0	1	0
01/11/2018	0	0	0	0	0	0	0	2
01/12/2018	0	0	0	0	0	0	0	0
01/01/2019	0	0	0	0	0	1	0	6
01/02/2019	0	0	0	0	0	0	0	3
01/03/2019	0	0	0	0	0	0	0	2
01/04/2019	0	0	0	0	0	0	0	2
01/05/2019	0	0	0	0	0	0	0	1
01/06/2019	0	0	0	0	0	0	0	3
01/07/2019	0	0	0	0	0	0	0	1
01/08/2019	0	0	0	0	0	0	0	0
01/09/2019	0	0	0	0	0	0	0	2
01/10/2019	0	0	0	0	0	0	0	0
01/11/2019	0	0	0	0	0	0	0	0
01/12/2019	0	0	0	0	0	0	0	0
01/01/2020	0	0	0	0	0	0	0	0
01/02/2020	0	0	0	0	0	0	0	0
01/03/2020	0	0	0	0	0	0	0	1
01/04/2020	0	0	0	0	0	0	0	0
01/05/2020	0	0	0	0	0	0	0	0
01/06/2020	0	0	0	0	0	0	0	0
01/07/2020	0	0	0	0	0	0	0	0
01/08/2020	0	0	0	0	0	0	0	0
01/09/2020	0	0	0	0	0	0	0	1
01/10/2020	0	0	0	0	0	0	0	0
01/11/2020	0	0	0	0	0	0	0	0
01/12/2020	0	0	0	0	0	0	0	0
